Job Name,Job Level,Company Name,City,Area,Country,Skills
Teacher Assistant,Entry Level,Lister Education Pte Ltd,Makassar,South Sulawesi,Indonesia,['English']
Science Teacher,Senior,Rakids Learning Center,Palembang,South Sumatra,Indonesia,"['Team Work', 'Coaching', 'Communication']"
Private Tutor,Entry Level,Yayasan Elfa Sunna,Malang,Kota Malang,Indonesia,"['Ambitious', 'English']"
Instructor Trainee,Entry Level,The Champion School,Makassar,South Sulawesi,Indonesia,"['Training Plans', 'Assisting']"
Physical Education Teacher,Intermediate,Lister Education Pte Ltd,Tangerang,Banten,Indonesia,['Exploration']
Primary English Teacher,Intermediate,Widya Edutech,Sumedang,West Java,Indonesia,['Lesson Planning']
Master Teacher Social Studies,Senior,PT. Koding Next Indonesia,Malang,Kota Malang,Indonesia,"['Mentoring', 'Mandarin', 'Coaching']"
Physical Exercise Teacher,Entry Level,Sekolah Pelita Bangsa,Sumedang,West Java,Indonesia,"['Team Work', 'Disciplinaries', 'Mentoring']"
Doctor Professional Education Lecturer,Senior,St. Johannes Berchmans,Makassar,South Sulawesi,Indonesia,"['Assisting', 'E-Learning', 'Mentoring']"
Biology Tutor,Entry Level,The Champion School,Tangerang,Banten,Indonesia,"['Team Work', 'E-Learning', 'Teaching', 'Mentoring']"
Freelance Business English Tutor [Native Speaker],Senior,Newton Education Group,Cilacap,Central Java,Indonesia,"['Disciplinaries', 'Zoom']"
Business Studies & Accounting Teacher,Entry Level,PT Trakindo Utama,Denpasar,Dangin Puri,Indonesia,['Assisting']
Religion Teacher (Buddhist),Entry Level,LingoTalk,Makassar,South Sulawesi,Indonesia,"['Willing to Learn', 'Adaptable']"
Chemistry Teacher,Senior,Tsurayya Indonesia,Denpasar,Dangin Puri,Indonesia,"['Mentoring', 'Problem Solving', 'Curriculum Development', 'Team Work']"
Science Teacher,Senior,BrightCHAMPS,Denpasar,Dangin Puri,Indonesia,"['English', 'Mentoring', 'Ambitious']"
Programming Lecturer,Senior,EF English First Batam,Sumedang,West Java,Indonesia,"['Training Plans', 'Mandarin']"
Sports Teacher,Intermediate,Lister Education Pte Ltd,Depok,Bogor,Indonesia,"['Disciplinaries', 'Coaching']"
Visual Arts Teacher,Entry Level,Sekolah Pelita Bangsa,Depok,Bogor,Indonesia,"['Mentoring', 'Exploration']"
Tutor IELTS (Part-time),Entry Level,PT. Koding Next Indonesia,Depok,Bogor,Indonesia,['Tutoring']
Music and Vocal Teacher,Entry Level,Practicum USA,Malang,Kota Malang,Indonesia,"['Assisting', 'Training Plans']"
International School Private Teacher,Intermediate,LingoTalk,Surabaya,East Java,Indonesia,['Willing to Learn']
International School Private Teacher,Senior,LancarBahasa.ID,Jepara,Central Java,Indonesia,"['Training Plans', 'Communication']"
ICT Teacher,Entry Level,CIE Central International Education,Tangerang,Banten,Indonesia,"['E-Learning', 'Communication']"
Japanese and Mandarin Tutor,Senior,St. Johannes Berchmans,Jepara,Central Java,Indonesia,"['Mandarin', 'Ambitious', 'Curriculum Development', 'Exploration']"
Primary Teacher,Senior,PT. Koding Next Indonesia,Surabaya,East Java,Indonesia,"['Team Work', 'Lesson Planning']"
Science Teacher,Intermediate,Global Jaya International School,Surabaya,East Java,Indonesia,['Willing to Learn']
History Teacher,Entry Level,PT. Koding Next Indonesia,Surabaya,East Java,Indonesia,"['Disciplinaries', 'Training Plans', 'Tutoring']"
Art Teacher,Senior,One Third Consulting and Abroad,Bandung,West Java,Indonesia,"['Communication', 'Exploration', 'Problem Solving', 'Willing to Learn']"
Instructor Trainee,Senior,Kodingbean,Jakarta,Java,Indonesia,"['Curriculum Development', 'Assisting', 'Lesson Planning', 'E-Learning']"
Social Teacher,Entry Level,Schoters,Bandar Lampung,Lampung,Indonesia,"['Mandarin', 'English', 'Willing to Learn', 'Exploration']"
Robotics Teacher/Tutor,Intermediate,SMARTZ.ID,Bogor,West Java,Indonesia,"['Teaching', 'Team Work']"
International School Private Teacher,Senior,Concentrix,Bandar Lampung,Lampung,Indonesia,"['Exploration', 'Curriculum Development', 'Teaching', 'Problem Solving']"
IT Teacher,Intermediate,Guardian Jobs,Medan,North Sumatra,Indonesia,['Communication']
Science Teacher,Senior,Guardian Jobs,Makassar,South Sulawesi,Indonesia,"['E-Learning', 'Willing to Learn', 'Zoom']"
Cambridge Science Teacher,Senior,Schoters,Bekasi,West Java,Indonesia,"['Curriculum Development', 'Zoom', 'E-Learning', 'Exploration']"
Biology Tutor,Intermediate,Kodingbean,Sumedang,West Java,Indonesia,"['Mentoring', 'Zoom', 'Training Plans', 'Communication']"
Art Teacher,Intermediate,Lister Education Pte Ltd,Cilacap,Central Java,Indonesia,"['Assisting', 'Mentoring', 'Mandarin']"
Coding Teacher,Senior,E-cube,Palembang,South Sumatra,Indonesia,"['Lesson Planning', 'Communication', 'Zoom', 'Training Plans']"
Private Tutor,Entry Level,Helpmate course,Tangerang,Banten,Indonesia,"['Mandarin', 'Teaching', 'Problem Solving', 'Adaptable']"
Vocal Teacher,Intermediate,CIE Central International Education,Bandung,West Java,Indonesia,"['Curriculum Development', 'Teaching']"
TIK / Computer Teacher,Intermediate,CIE Central International Education,Medan,North Sumatra,Indonesia,"['Team Work', 'Mandarin', 'Communication', 'Mentoring']"
International School Private Teacher,Entry Level,Schoters,Depok,Bogor,Indonesia,['Zoom']
Japanese and Mandarin Tutor,Entry Level,Rakids Learning Center,Makassar,South Sulawesi,Indonesia,"['Ambitious', 'Communication', 'Problem Solving']"
Visual Arts Teacher,Senior,Digital Skola,Denpasar,Dangin Puri,Indonesia,"['Mentoring', 'Disciplinaries']"
Education Counselor,Entry Level,Marriott,Cilacap,Central Java,Indonesia,"['Ambitious', 'Zoom']"
Elementary IT Teacher,Senior,Practicum USA,Denpasar,Dangin Puri,Indonesia,"['Teaching', 'Tutoring']"
Physical Exercise Teacher,Senior,Rakids Learning Center,Bandung,West Java,Indonesia,"['Zoom', 'Teaching', 'Adaptable']"
Vocal Teacher,Entry Level,Oxbridge International School,Semarang,Central Java,Indonesia,['Problem Solving']
Training,Intermediate,BSI,Tangerang,Banten,Indonesia,"['Tutoring', 'Problem Solving', 'Training Plans']"
Primary English Teacher,Senior,Global Jaya International School,Makassar,South Sulawesi,Indonesia,"['Zoom', 'Disciplinaries', 'Coaching']"
Assistant Teacher,Intermediate,Lister Education Pte Ltd,Palembang,South Sumatra,Indonesia,"['Problem Solving', 'Willing to Learn', 'Coaching']"
Cambridge Science Teacher,Entry Level,Cakap,Makassar,South Sulawesi,Indonesia,"['Communication', 'Exploration', 'Coaching']"
Mathematics Tutor,Entry Level,Schoters,Denpasar,Dangin Puri,Indonesia,"['Team Work', 'Mentoring']"
IT Teacher,Senior,St. Johannes Berchmans,Palembang,South Sumatra,Indonesia,['Tutoring']
Mathematics Tutor,Intermediate,LightHouse Academy,Semarang,Central Java,Indonesia,['Mandarin']
Doctor Professional Education Lecturer,Intermediate,Brain Academy Center,Surabaya,East Java,Indonesia,['Mandarin']
Master Teacher Social Studies,Intermediate,SPK My Little Island School,Surabaya,East Java,Indonesia,"['Mandarin', 'Communication', 'Coaching']"
3D Tutor for CG Fundamentals,Entry Level,PT. Infinite Potensi,Makassar,South Sulawesi,Indonesia,['English']
Freelance Business English Tutor [Native Speaker],Senior,LancarBahasa.ID,Sumedang,West Java,Indonesia,"['Mentoring', 'English', 'Training Plans']"
History & geography Teacher,Intermediate,SMARTZ.ID,Medan,North Sumatra,Indonesia,"['Team Work', 'E-Learning', 'Adaptable', 'Lesson Planning']"
Vocal Teacher,Senior,Helpmate course,Palembang,South Sumatra,Indonesia,"['Problem Solving', 'Willing to Learn', 'Curriculum Development']"
Physical Exercise Teacher,Intermediate,Helpmate course,Makassar,South Sulawesi,Indonesia,"['Adaptable', 'Willing to Learn']"
IT Teacher For Kids,Entry Level,EF English First Batam,Tangerang,Banten,Indonesia,"['Ambitious', 'Disciplinaries', 'Exploration']"
Music Teacher,Intermediate,Digital Skola,Bandar Lampung,Lampung,Indonesia,"['Ambitious', 'E-Learning']"
Freelance Japanese Tutor,Senior,Newton Education Group,Jakarta,Java,Indonesia,"['Willing to Learn', 'Ambitious', 'Curriculum Development', 'Communication']"
Training,Senior,E-cube,Sumedang,West Java,Indonesia,"['Assisting', 'Tutoring']"
Music Teacher,Senior,Sekolah Pelita Bangsa,Denpasar,Dangin Puri,Indonesia,"['Mentoring', 'Lesson Planning', 'Team Work']"
Freelance Business English Tutor [Native Speaker],Entry Level,Sekolah Pelita Bangsa,Jakarta,Java,Indonesia,"['Communication', 'Teaching', 'English', 'Ambitious']"
Homeroom Teacher,Entry Level,Yayasan Citra Berkat,Bogor,West Java,Indonesia,['Willing to Learn']
Research Assistant - Chinese Speaker,Entry Level,CIE Central International Education,Depok,Bogor,Indonesia,['Communication']
Digital Business Lecturer,Intermediate,Helpmate course,Bogor,West Java,Indonesia,"['Curriculum Development', 'Training Plans']"
IT Teacher For Kids,Intermediate,LightHouse Academy,Denpasar,Dangin Puri,Indonesia,"['Willing to Learn', 'Exploration', 'Disciplinaries']"
Tutor Baby Class,Entry Level,PT. Koding Next Indonesia,Palembang,South Sumatra,Indonesia,"['E-Learning', 'Coaching', 'Lesson Planning', 'Zoom']"
Digital Marketing Tutor,Intermediate,Schoters,Jepara,Central Java,Indonesia,"['Communication', 'English', 'Willing to Learn', 'Assisting']"
Visual Arts Teacher,Senior,Sekolah Citra Kasih,Jepara,Central Java,Indonesia,"['Coaching', 'Adaptable', 'English', 'Assisting']"
ICT Teacher,Senior,PT. Infinite Potensi,Bandung,West Java,Indonesia,"['Tutoring', 'Communication', 'Disciplinaries', 'Mandarin']"
Tutor Baby Class,Senior,Sekolah Citra Kasih,Bandung,West Java,Indonesia,"['Ambitious', 'Team Work', 'English']"
Chemistry Teacher,Entry Level,EF English First Batam,Palembang,South Sumatra,Indonesia,['Tutoring']
ICT Teacher,Entry Level,Yayasan Elfa Sunna,Surabaya,East Java,Indonesia,"['Mandarin', 'Training Plans', 'Curriculum Development']"
Elementary Teacher,Intermediate,Educourse.id,Makassar,South Sulawesi,Indonesia,['Lesson Planning']
Psychology Lecturer,Intermediate,The Gandhi Memorial Intercontinental School,Denpasar,Dangin Puri,Indonesia,"['Lesson Planning', 'Communication', 'Tutoring', 'Problem Solving']"
Mathematics Mentor,Senior,"The Ritz-Carlton Hotel Company, L.L.C.",Sangereng,Panunggangan Barat,Indonesia,"['Lesson Planning', 'English', 'Willing to Learn', 'Curriculum Development']"
Elementary IT Teacher,Senior,LightHouse Academy,Bekasi,West Java,Indonesia,['Communication']
Digital Marketing Tutor,Intermediate,St. Johannes Berchmans,Tangerang,Banten,Indonesia,"['English', 'Team Work']"
Digital Business Lecturer,Entry Level,Helpmate course,Surabaya,East Java,Indonesia,"['E-Learning', 'Adaptable']"
Robotics Teacher/Tutor,Entry Level,Yayasan Citra Berkat,Semarang,Central Java,Indonesia,"['Team Work', 'Adaptable', 'Tutoring', 'Communication']"
Robotics Teacher/Tutor,Senior,Newton Education Group,Makassar,South Sulawesi,Indonesia,"['English', 'Mandarin', 'Exploration']"
Mathematics Tutor,Senior,Kodingbean,Tangerang,Banten,Indonesia,"['Mandarin', 'Assisting']"
Business Studies & Accounting Teacher,Intermediate,Kodingbean,Bogor,West Java,Indonesia,['Teaching']
Data Science Tutor,Senior,One Third Consulting and Abroad,Semarang,Central Java,Indonesia,"['Zoom', 'Training Plans', 'Ambitious']"
Elementary IT Teacher,Senior,Royal Prime Montessori Elementary and Junior School,Depok,Bogor,Indonesia,['Training Plans']
Islamic Religion Teacher,Intermediate,Oxbridge International School,Surabaya,East Java,Indonesia,"['Lesson Planning', 'Coaching', 'E-Learning', 'Tutoring']"
International English Teacher,Intermediate,PT. Infinite Potensi,Semarang,Central Java,Indonesia,"['Problem Solving', 'Communication', 'Teaching']"
Pharmacy Lecturer,Senior,Newton Education Group,Cilacap,Central Java,Indonesia,['Team Work']
Social Teacher,Entry Level,Guru.mu,Bekasi,West Java,Indonesia,['Training Plans']
Freelance Business English Tutor [Native Speaker],Intermediate,LightHouse Academy,Bandar Lampung,Lampung,Indonesia,"['Teaching', 'Mentoring', 'Willing to Learn', 'Curriculum Development']"
Teacher Assistant,Intermediate,Sekolah Pelita Bangsa,Depok,Bogor,Indonesia,"['Zoom', 'Problem Solving']"
Research Assistant - Chinese Speaker,Entry Level,Kodland,Bandung,West Java,Indonesia,"['Assisting', 'Curriculum Development', 'Zoom', 'English']"
Korean Teacher,Intermediate,Cakap,Jepara,Central Java,Indonesia,"['Team Work', 'Lesson Planning', 'Curriculum Development', 'Ambitious']"
Master Teacher Social Studies,Entry Level,Morphoo School,Palembang,South Sumatra,Indonesia,"['Mentoring', 'Zoom', 'Exploration', 'English']"
Digital Marketing Tutor,Senior,CIE Central International Education,Sumedang,West Java,Indonesia,"['Ambitious', 'Assisting', 'Lesson Planning', 'E-Learning']"
Mathematics Mentor,Entry Level,LingoTalk,Palembang,South Sumatra,Indonesia,['Exploration']
Preschool/Kindergarten Teacher,Intermediate,Digital Skola,Depok,Bogor,Indonesia,"['Ambitious', 'Mentoring']"
Primary English Teacher,Entry Level,SPK My Little Island School,Malang,Kota Malang,Indonesia,['Team Work']
Chemistry Teacher,Senior,Lister Education Pte Ltd,Jakarta,Java,Indonesia,"['Teaching', 'Problem Solving', 'Tutoring', 'Assisting']"
Sociology Teacher,Senior,Educourse.id,Bekasi,West Java,Indonesia,"['Assisting', 'Mandarin', 'Curriculum Development', 'Teaching']"
Economics Teacher,Entry Level,Sekolah Citra Kasih,Sangereng,Panunggangan Barat,Indonesia,"['Assisting', 'Exploration', 'Communication', 'Mentoring']"
3D Tutor for CG Fundamentals,Entry Level,Tsurayya Indonesia,Bandung,West Java,Indonesia,['Willing to Learn']
Teacher,Entry Level,Guru.mu,Sumedang,West Java,Indonesia,['English']
Machine Learning Mentor,Senior,E-cube,Bandung,West Java,Indonesia,"['Coaching', 'Team Work', 'Disciplinaries', 'Willing to Learn']"
Islamic Religion Teacher,Intermediate,Newton Education Group,Palembang,South Sumatra,Indonesia,"['Tutoring', 'Coaching', 'Team Work', 'Lesson Planning']"
Coding Teacher,Senior,Kodingbean,Bekasi,West Java,Indonesia,['Problem Solving']
TIK / Computer Teacher,Intermediate,E-cube,Sumedang,West Java,Indonesia,['Communication']
Business Studies & Accounting Teacher,Senior,PT Trakindo Utama,Denpasar,Dangin Puri,Indonesia,"['Mandarin', 'Training Plans']"
Sociology Teacher,Entry Level,Digital Skola,Semarang,Central Java,Indonesia,['Communication']
Chemistry Teacher,Entry Level,Digital Skola,Palembang,South Sumatra,Indonesia,"['Ambitious', 'Mandarin', 'Tutoring']"
IT Teacher For Kids,Senior,The Gandhi Memorial Intercontinental School,Cilacap,Central Java,Indonesia,"['Mandarin', 'Ambitious', 'Communication']"
Science Teacher,Entry Level,Marriott,Palembang,South Sumatra,Indonesia,"['Coaching', 'Mandarin', 'Training Plans', 'Zoom']"
English Teacher for Kids,Entry Level,Kobi Education,Makassar,South Sulawesi,Indonesia,['Curriculum Development']
Korean Teacher,Senior,Concentrix,Tangerang,Banten,Indonesia,"['Training Plans', 'Curriculum Development', 'Coaching']"
Tutor IELTS (Part-time),Intermediate,Kodingbean,Surabaya,East Java,Indonesia,"['Training Plans', 'Ambitious', 'Coaching', 'Team Work']"
school counselor,Entry Level,PT. Infinite Potensi,Sangereng,Panunggangan Barat,Indonesia,"['Curriculum Development', 'Tutoring', 'Mandarin']"
Economics Teacher,Senior,Rakids Learning Center,Bogor,West Java,Indonesia,"['Tutoring', 'Communication', 'Exploration', 'Lesson Planning']"
Science Teacher,Entry Level,PT. Infinite Potensi,Makassar,South Sulawesi,Indonesia,"['Curriculum Development', 'Mentoring', 'Tutoring']"
Biology Tutor,Entry Level,EF English First Batam,Sangereng,Panunggangan Barat,Indonesia,"['Zoom', 'Team Work', 'Lesson Planning', 'Communication']"
Private Tutor,Senior,Lister Education Pte Ltd,Jakarta,Java,Indonesia,"['Ambitious', 'Communication']"
Islamic Religion Teacher,Intermediate,PT. Infinite Potensi,Jepara,Central Java,Indonesia,"['Teaching', 'Adaptable']"
Digital Business Lecturer,Entry Level,Widya Edutech,Semarang,Central Java,Indonesia,"['Problem Solving', 'Communication']"
Art Teacher,Entry Level,Concentrix,Malang,Kota Malang,Indonesia,"['Mentoring', 'Coaching']"
Elementary Teacher,Intermediate,Oxbridge International School,Denpasar,Dangin Puri,Indonesia,"['Tutoring', 'Zoom']"
Japanese and Mandarin Tutor,Intermediate,EF English First Batam,Malang,Kota Malang,Indonesia,"['Exploration', 'Zoom', 'Assisting']"
Master Teacher Social Studies,Intermediate,Rakids Learning Center,Palembang,South Sumatra,Indonesia,['Lesson Planning']
IT Teacher For Kids,Intermediate,Newton Education Group,Denpasar,Dangin Puri,Indonesia,['English']
Programming Lecturer,Entry Level,Practicum USA,Sangereng,Panunggangan Barat,Indonesia,"['Adaptable', 'Coaching', 'Curriculum Development', 'Zoom']"
Master Teacher Social Studies,Senior,Guardian Jobs,Bandar Lampung,Lampung,Indonesia,['Tutoring']
Teacher,Entry Level,Sekolah Pelita Bangsa,Palembang,South Sumatra,Indonesia,"['Ambitious', 'English', 'Teaching']"
"Scratch Tutor (Coding, Remote, Indonesia)",Entry Level,Royal Prime Montessori Elementary and Junior School,Bandar Lampung,Lampung,Indonesia,['Problem Solving']
Elementary IT Teacher,Senior,Tsurayya Indonesia,Cilacap,Central Java,Indonesia,['Exploration']
Business Studies & Accounting Teacher,Intermediate,St. Johannes Berchmans,Palembang,South Sumatra,Indonesia,['Disciplinaries']
French tutor,Senior,PT. Infinite Potensi,Denpasar,Dangin Puri,Indonesia,"['Tutoring', 'Lesson Planning']"
Religion Teacher (Buddhist),Senior,Tsurayya Indonesia,Semarang,Central Java,Indonesia,"['Zoom', 'Mandarin', 'English', 'Communication']"
International English Teacher,Intermediate,Lister Education Pte Ltd,Tangerang,Banten,Indonesia,"['Tutoring', 'English', 'Coaching']"
Vocal Teacher,Senior,Kobi Education,Tangerang,Banten,Indonesia,"['Ambitious', 'Coaching']"
Tutor / Training ( Client Manager),Intermediate,Cakap,Palembang,South Sumatra,Indonesia,"['Mentoring', 'Team Work', 'Willing to Learn']"
Digital Marketing Tutor,Senior,SPK My Little Island School,Depok,Bogor,Indonesia,['English']
International School Private Teacher,Entry Level,Digital Skola,Makassar,South Sulawesi,Indonesia,"['English', 'Zoom', 'Lesson Planning', 'Tutoring']"
Teacher Assistant,Intermediate,Kodingbean,Denpasar,Dangin Puri,Indonesia,"['Willing to Learn', 'Mandarin', 'Adaptable', 'Exploration']"
Physical Exercise Teacher,Entry Level,Brain Academy Center,Jakarta,Java,Indonesia,"['Exploration', 'Problem Solving']"
English Teacher for Kids,Entry Level,PT. Infinite Potensi,Jepara,Central Java,Indonesia,"['Adaptable', 'Exploration', 'E-Learning', 'Training Plans']"
Education Counselor,Intermediate,Tsurayya Indonesia,Denpasar,Dangin Puri,Indonesia,"['Zoom', 'Teaching']"
TIK / Computer Teacher,Entry Level,LingoTalk,Malang,Kota Malang,Indonesia,"['Mandarin', 'Problem Solving']"
Physical Education Teacher,Intermediate,E-cube,Cilacap,Central Java,Indonesia,"['Teaching', 'Mandarin', 'Ambitious', 'Communication']"
Primary Teacher,Senior,Lister Education Pte Ltd,Sangereng,Panunggangan Barat,Indonesia,"['Mentoring', 'E-Learning']"
Mathematics Mentor,Intermediate,Brain Academy Center,Cilacap,Central Java,Indonesia,"['Mentoring', 'Willing to Learn']"
Christian Religion Teacher,Entry Level,LightHouse Academy,Makassar,South Sulawesi,Indonesia,['Tutoring']
Music and Vocal Teacher,Intermediate,CT ARSA FOUNDATION,Palembang,South Sumatra,Indonesia,['Mandarin']
IT Teacher For Kids,Intermediate,Sekolah Citra Kasih,Bogor,West Java,Indonesia,['Communication']
Programming Lecturer,Intermediate,St. Johannes Berchmans,Palembang,South Sumatra,Indonesia,"['Disciplinaries', 'Problem Solving']"
Japanese and Mandarin Tutor,Intermediate,Pt Inspirasi Mandiri Nusantara,Jakarta,Java,Indonesia,"['Coaching', 'Problem Solving', 'Team Work', 'Mentoring']"
Chemistry Teacher,Senior,BSI,Sangereng,Panunggangan Barat,Indonesia,['Training Plans']
Social Teacher,Entry Level,Cakap,Sangereng,Panunggangan Barat,Indonesia,"['Adaptable', 'Assisting', 'Coaching']"
Psychology Lecturer,Entry Level,Kobi Education,Bekasi,West Java,Indonesia,"['Problem Solving', 'Ambitious', 'Teaching', 'Mentoring']"
Primary Teacher,Senior,CIE Central International Education,Denpasar,Dangin Puri,Indonesia,['Curriculum Development']
Tutor / Training ( Client Manager),Entry Level,Kodingbean,Cilacap,Central Java,Indonesia,"['Mandarin', 'Lesson Planning', 'Willing to Learn']"
English Tutor,Intermediate,Schoters,Jakarta,Java,Indonesia,['Curriculum Development']
Master Teacher Social Studies,Senior,Lister Education Pte Ltd,Denpasar,Dangin Puri,Indonesia,"['Willing to Learn', 'Exploration']"
Christian Religion Teacher,Senior,PT. Koding Next Indonesia,Malang,Kota Malang,Indonesia,"['E-Learning', 'Ambitious']"
Islamic Religion Teacher,Intermediate,PT. Infinite Potensi,Malang,Kota Malang,Indonesia,"['Exploration', 'Training Plans']"
Pharmacy Lecturer,Senior,Sekolah Citra Kasih,Cilacap,Central Java,Indonesia,"['Lesson Planning', 'Communication', 'Training Plans', 'Team Work']"
Sociology Teacher,Intermediate,Sekolah Pelita Bangsa,Depok,Bogor,Indonesia,"['Disciplinaries', 'Curriculum Development', 'Lesson Planning']"
Teacher Assistant,Intermediate,Kodland,Denpasar,Dangin Puri,Indonesia,"['Coaching', 'Curriculum Development', 'Zoom', 'Willing to Learn']"
French tutor,Intermediate,EF English First Batam,Palembang,South Sumatra,Indonesia,"['Training Plans', 'Problem Solving', 'Disciplinaries']"
Physical Exercise Teacher,Entry Level,Yayasan Citra Berkat,Jakarta,Java,Indonesia,"['Problem Solving', 'Coaching', 'Adaptable', 'Teaching']"
International English Teacher,Intermediate,SPK My Little Island School,Medan,North Sumatra,Indonesia,"['Team Work', 'Training Plans']"
Psychology Lecturer,Entry Level,Oxbridge International School,Makassar,South Sulawesi,Indonesia,['Mentoring']
Private Tutor,Entry Level,Sekolah Citra Kasih,Malang,Kota Malang,Indonesia,['E-Learning']
Mathematics Tutor,Senior,Morphoo School,Palembang,South Sumatra,Indonesia,"['Adaptable', 'E-Learning', 'Lesson Planning', 'Disciplinaries']"
Vocal Teacher,Entry Level,The Champion School,Denpasar,Dangin Puri,Indonesia,"['Assisting', 'Team Work', 'Zoom']"
Assistant Teacher,Intermediate,EF English First Batam,Denpasar,Dangin Puri,Indonesia,"['E-Learning', 'Team Work']"
